Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,IPS/Touchscreen,width,height,Memory_plusCapacite,Mermory_plusType,Mermory_Type
Apple,Ultrabook,13.3,Intel Core i5,8,128.0,Intel Iris,OS,1.37,71378.6832,IPS,2560,1600,0.0,Any,SSD
Apple,Ultrabook,13.3,Intel Core i5,8,128.0,Intel HD,OS,1.34,47895.5232,Touchscreen,1440,900,0.0,Any,Flash
HP,Notebook,15.6,Intel Core i5,8,256.0,Intel HD,No OS,1.86,30636.0,Touchscreen,1920,1080,0.0,Any,SSD
Apple,Ultrabook,15.4,Intel Core i7,16,512.0,AMD Radeon,OS,1.83,135195.33599999998,IPS,2880,1800,0.0,Any,SSD
Apple,Ultrabook,13.3,Intel Core i5,8,256.0,Intel Iris,OS,1.37,96095.808,IPS,2560,1600,0.0,Any,SSD
Acer,Notebook,15.6,AMD,4,500.0,AMD Radeon,Windows,2.1,21312.0,Touchscreen,1366,768,0.0,Any,HDD
Apple,Ultrabook,15.4,Intel Core i7,16,256.0,Intel Iris,OS,2.04,114017.6016,IPS,2880,1800,0.0,Any,Flash
Apple,Ultrabook,13.3,Intel Core i5,8,256.0,Intel HD,OS,1.34,61735.536,Touchscreen,1440,900,0.0,Any,Flash
Asus,Ultrabook,14.0,Intel Core i7,16,512.0,Nvidia GeForce,Windows,1.3,79653.59999999999,Touchscreen,1920,1080,0.0,Any,SSD
Acer,Ultrabook,14.0,Intel Core i5,8,256.0,Intel UHD,Windows,1.6,41025.6,IPS,1920,1080,0.0,Any,SSD
HP,Notebook,15.6,Intel Core i5,4,500.0,Intel HD,No OS,1.86,20986.992,Touchscreen,1366,768,0.0,Any,HDD
HP,Notebook,15.6,Intel Core i3,4,500.0,Intel HD,No OS,1.86,18381.0672,Touchscreen,1920,1080,0.0,Any,HDD
Apple,Ultrabook,15.4,Intel Core i7,16,256.0,AMD Radeon,OS,1.83,130001.6016,IPS,2880,1800,0.0,Any,SSD
Dell,Notebook,15.6,Intel Core i3,4,256.0,AMD Radeon,Windows,2.2,26581.392,Touchscreen,1920,1080,0.0,Any,SSD
Apple,Ultrabook,12.0,Intel,8,256.0,Intel HD,OS,0.92,67260.672,IPS,2304,1440,0.0,Any,SSD
Apple,Ultrabook,13.3,Intel Core i5,8,256.0,Intel Iris,OS,1.37,80908.344,IPS,2560,1600,0.0,Any,SSD
Dell,Notebook,15.6,Intel Core i7,8,256.0,AMD Radeon,Windows,2.2,39693.6,Touchscreen,1920,1080,0.0,Any,SSD
Apple,Ultrabook,15.4,Intel Core i7,16,512.0,AMD Radeon,OS,1.83,152274.24,IPS,2880,1800,0.0,Any,SSD
Lenovo,Notebook,15.6,Intel Core i3,8,1024.0,Nvidia GeForce,No OS,2.2,26586.72,Touchscreen,1920,1080,0.0,Any,HDD
Dell,Ultrabook,13.3,Intel Core i5,8,128.0,Intel UHD,Windows,1.22,52161.12,IPS/Touchscreen,1920,1080,0.0,Any,SSD
Asus,Netbook,11.6,Intel,2,32.0,Intel HD,Windows,0.98,10224.432,Touchscreen,1366,768,0.0,Any,Flash
Lenovo,Gaming,15.6,Intel Core i5,8,128.0,Nvidia GeForce,Windows,2.5,53226.72,IPS,1920,1080,1024.0,HDD,SSD
HP,Notebook,15.6,AMD,4,500.0,AMD Radeon,No OS,1.86,13746.24,Touchscreen,1366,768,0.0,Any,HDD
Dell,2 in 1 Convertible,13.3,Intel Core i5,8,256.0,Intel UHD,Windows,1.62,43636.32,Touchscreen,1920,1080,0.0,Any,SSD
HP,Ultrabook,15.6,Intel Core i7,8,256.0,Intel HD,Windows,1.91,35111.52,Touchscreen,1920,1080,0.0,Any,SSD
Dell,Notebook,15.6,Intel Core i3,4,1024.0,Intel HD,Windows,2.3,22305.1392,Touchscreen,1366,768,0.0,Any,HDD
Apple,Ultrabook,13.3,Intel Core i5,8,128.0,Intel HD,OS,1.35,58554.72,Touchscreen,1440,900,0.0,Any,Flash
Dell,Notebook,15.6,Intel Core i5,8,256.0,AMD Radeon,Windows,2.2,42624.0,Touchscreen,1920,1080,0.0,Any,SSD
Dell,Ultrabook,15.6,Intel Core i7,8,256.0,Intel UHD,Windows,1.88,69157.44,Touchscreen,1920,1080,256.0,SSD,SSD
HP,Notebook,17.3,Intel Core i5,8,1024.0,Nvidia GeForce,Windows,2.5,47738.88,Touchscreen,1920,1080,0.0,Any,HDD
Chuwi,Notebook,15.6,Intel,4,64.0,Intel HD,Windows,1.89,13053.0672,Touchscreen,1920,1080,0.0,Any,Flash
Asus,Notebook,14.0,AMD,2,32.0,AMD Radeon,Windows,1.65,10602.72,Touchscreen,1366,768,0.0,Any,Flash
HP,Notebook,17.3,AMD,4,500.0,AMD Radeon,Windows,2.71,23389.92,Touchscreen,1920,1080,0.0,Any,HDD
Dell,Ultrabook,13.3,Intel Core i7,16,512.0,Intel UHD,Windows,1.2,99580.32,Touchscreen,3200,1800,0.0,Any,SSD
Apple,Ultrabook,13.3,Intel Core i5,8,256.0,Intel HD,OS,1.35,53173.44,Touchscreen,1440,900,0.0,Any,Flash
Lenovo,Notebook,14.0,Intel,4,64.0,Intel HD,Windows,1.44,13266.72,Touchscreen,1366,768,0.0,Any,Flash
Acer,Notebook,15.6,Intel Core i3,4,1024.0,Intel HD,Linux,2.1,19553.76,Touchscreen,1366,768,0.0,Any,HDD
Dell,Notebook,17.3,Intel Core i5,8,128.0,AMD Radeon,Windows,2.8,52161.12,IPS,1920,1080,1024.0,HDD,SSD
HP,Notebook,15.6,Intel Core i5,4,1024.0,Intel HD,Windows,1.86,26037.4032,Touchscreen,1366,768,0.0,Any,HDD
HP,Notebook,15.6,Intel Core i5,8,256.0,Nvidia GeForce,Windows,2.1,46833.12,Touchscreen,1920,1080,0.0,Any,SSD
